ReactivityImage2,ImageCategory,SoundFile,CorrectAns,PictureRatings_2,reac_2_loop.thisRepN,reac_2_loop.thisTrialN,reac_2_loop.thisN,reac_2_loop.thisIndex,prt_2_loop.thisRepN,prt_2_loop.thisTrialN,prt_2_loop.thisN,prt_2_loop.thisIndex,slide1_headphones.started,slide1_headphones.stopped,slide1_headphones_resp.keys,slide1_headphones_resp.rt,slide1_headphones_resp.started,slide1_headphones_resp.stopped,reac_info_1.started,reac_info_1.stopped,reac_info_1_resp.keys,reac_info_1_resp.rt,reac_info_1_resp.started,reac_info_1_resp.stopped,reac_info_2.started,reac_info_2.stopped,reac_info_2_resp.keys,reac_info_2_resp.rt,reac_info_2_resp.started,reac_info_2_resp.stopped,reac_info_3.started,reac_info_3.stopped,reac_info_3_resp.keys,reac_info_3_resp.rt,reac_info_3_resp.started,reac_info_3_resp.stopped,blank_5seconds.started,blank_5seconds.stopped,reac_2_image.started,reac_2_image.stopped,reac_2_sound.started,reac_2_sound.stopped,reac_2_keys.keys,reac_2_keys.corr,reac_2_keys.rt,reac_2_keys.started,reac_2_keys.stopped,blank_1second.started,blank_1second.stopped,postreac2_slide1_text.started,postreac2_slide1_text.stopped,postreac2_slide1_resp.keys,postreac2_slide1_resp.rt,postreac2_slide1_resp.started,postreac2_slide1_resp.stopped,postreac2_slide2_text.started,postreac2_slide2_text.stopped,postreac2_slide2_resp.keys,postreac2_slide2_resp.rt,postreac2_slide2_resp.started,postreac2_slide2_resp.stopped,postreac2_slide3_text.started,postreac2_slide3_text.stopped,postreac2_slide3_resp.keys,postreac2_slide3_resp.rt,postreac2_slide3_resp.started,postreac2_slide3_resp.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_15.started,text_15.stopped,prt_2_vas.response,prt_2_vas.rt,prt_2_vas.started,prt_2_vas.stopped,prt_2_vas_guide.started,prt_2_vas_guide.stopped,prt_2_vas_instructions.started,prt_2_vas_instructions.stopped,blank_10seconds.started,blank_10seconds.stopped,pleasewait_text.started,pleasewait_text.stopped,pleasewait_resp.keys,pleasewait_resp.rt,pleasewait_resp.started,pleasewait_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,14.009160101666566,None,space,10.859057446392399,14.009160101666566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
,,,,,,,,,,,,,,,,,,,24.88389482499042,None,space,46.33051363093182,27.88693887766931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
,,,,,,,,,,,,,,,,,,,,,,,,,74.233118367707,None,space,3.503966643120293,77.23632827934307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.75662902489603,None,space,1.6024649284918269,85.76128299113407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
images/7009.jpg,Neutral,sounds/high 1 second.wav,num_2,,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.3795670179843,None,92.45528824153189,None,92.45528824153189,None,num_2,1,3.1665668608384294,92.45528824153189,None,98.39061887324715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
images/9102.jpg,Unpleasant,sounds/high 1 second.wav,num_2,,0,1,1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.43027959553183,None,99.43027959553183,None,num_1,0,3.131802883841374,99.43027959553183,None,105.38085693192807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
images/1419.jpg,Pleasant,sounds/low 4 second.wav,num_1,,0,2,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.42220779302806,None,106.42220779302806,None,None,0,,106.42220779302806,None,112.37117040835801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
images/7130.jpg,Neutral,sounds/low 1 second.wav,num_1,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.41408040373426,None,113.41408040373426,None,num_1,1,2.6951365166423784,113.41408040373426,None,119.36147847634493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
images/2590.jpg,Unpleasant,sounds/low 4 second.wav,num_1,,0,4,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.4028395533951,None,120.4028395533951,None,num_1,1,5.348463055368484,120.4028395533951,None,126.36907824185982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
images/6220.jpg,Unpleasant,sounds/high 4 second.wav,num_2,,0,5,5,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.41333193514947,None,127.41333193514947,None,num_2,1,5.44642410195047,127.41333193514947,None,133.37558490070478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
images/7161.jpg,Neutral,sounds/low 4 second.wav,num_1,,0,6,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.4170691700947,None,134.4170691700947,None,num_1,1,5.315444803971332,134.4170691700947,None,140.3660107525884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
images/2850.jpg,Neutral,sounds/high 4 second.wav,num_2,,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.40709690038966,None,141.40709690038966,None,num_2,1,5.649535219337849,141.40709690038966,None,147.35631100837782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
images/5594.jpg,Pleasant,sounds/high 1 second.wav,num_2,,0,8,8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.39669916640923,None,148.39669916640923,None,num_2,1,2.380382190714954,148.39669916640923,None,154.3631502865428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
images/2357.jpg,Neutral,sounds/high 1 second.wav,num_2,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.40534486493743,None,155.40534486493743,None,num_2,1,2.37866531014879,155.40534486493743,None,161.37007189324686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
images/2441.jpg,Neutral,sounds/low 1 second.wav,num_1,,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.41194737343358,None,162.41194737343358,None,num_1,1,2.563378703169292,162.41194737343358,None,168.36036313496334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
images/7481.jpg,Pleasant,sounds/low 4 second.wav,num_1,,0,11,11,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.4012879308466,None,169.4012879308466,None,num_1,1,5.449637318744863,169.4012879308466,None,175.36753262869388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,002,2019_May_01_2101,MAER M R1 P2 v1,3.1.0,59.95732169790571,
